"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13328","TC002:validate product is added to cart","","2026-08-02","passed","2026-08-02","","","",""
"","13385","TC001:validate product is added to cart","","2026-08-02","passed","2026-08-02","","","",""
